"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Subclasses","Text","At Higher Levels"
"Blindness/Deafness","PHB'24","248","2nd","Action","1 minute","Transmutation","120 feet","V","Bard (PHB'24), Cleric (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Spores (TCE) Druid, Spores (TCE) Druid, Lore (PHB'24) Bard, Death (DMG'14) Cleric, Death (DMG'14) Cleric, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Lunar (DSotDQ) Sorcerer, Lunar (DSotDQ) Sorcerer, Reanimator (RHW) Artificer, Fiend (PHB'14) Warlock, Undead (VRGR) Warlock, Undying (SCAG) Warlock, Undying (SCAG) Warlock, Undead (RHW) Warlock","One creature that you can see within range must succeed on a Constitution saving throw, or it has the Blinded or Deafened condition (your choice) for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success.","Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2."
"Blink","PHB'24","248","3rd","Action","1 minute","Transmutation","Self","V, S","Artificer (EFA), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Archfey (PHB'24) Warlock, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Great Fool (TCM'24) Warlock, Archfey (PHB'14) Warlock, Great Fool (TCM'14) Warlock, Great Fool (TCM'14) Warlock, Hexblade (XGE) Warlock, Hexblade (XGE) Warlock, Trickery (PHB'14) Cleric","Roll 1d6 at the end of each of your turns for the duration. On a roll of 4-6, you vanish from your current plane of existence and appear in the Ethereal Plane (the spell ends instantly if you are already on that plane). While on the Ethereal Plane, you can perceive the plane you left, which is cast in shades of gray, but you can't see anything there more than 60 feet away. You can affect and be affected only by other creatures on the Ethereal Plane, and creatures on the other plane can't perceive you unless they have a special ability that lets them perceive things on the Ethereal Plane.

You return to the other plane at the start of your next turn and when the spell ends if you are on the Ethereal Plane. You return to an unoccupied space of your choice that you can see within 10 feet of the space you left. If no unoccupied space is available within that range, you appear in the nearest unoccupied space.",""
"Blood Bolt","TCM'24","125","Cantrip","Action","Instantaneous","Necromancy","90 feet","V, S","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Crimson (TCM'24) Sorcerer","You hurl a twisting bolt of blood at a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d6 Necrotic damage, and you gain a number of Temporary Hit Points equal to your Proficiency Bonus.","Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6)."
"Blood Sacrifice","TCM'24","125","2nd","Bonus","1 minute","Necromancy","Self","V, S, M (a drop of your own blood)","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Crimson (TCM'24) Sorcerer","You sacrifice a portion of your life force to enhance your magical power. When you cast this spell, you take 1d6 Necrotic damage, which can't be reduced or prevented in any way. For the duration, when you cast a spell that deals damage, one target of the spell (your choice) takes an extra 1d6 damage of the same type as the spell's normal damage type (your choice if there are multiple).","Using a Higher-Level Spell Slot. The damage you take and the extra damage your spells deal both increase by 1d6 for each spell slot level above 2."
"Blur","PHB'24","248","2nd","Action","Concentration, up to 1 minute","Illusion","Self","V","Artificer (EFA), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (Arid Land) (PHB'24) Druid, Land (Desert) (PHB'14) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Illusionist (PHB'24) Wizard, Genie (Marid) (TCE) Warlock, Genie (Marid) (TCE) Warlock, Hexblade (XGE) Warlock, Hexblade (XGE) Warlock","Your body becomes blurred. For the duration, any creature has Disadvantage on attack rolls against you. An attacker is immune to this effect if it perceives you with Blindsight or Truesight.",""
"Body Warping of Gorgoroth","CBT","0","1st","Action","Concentration, up to 10 minutes","Transmutation","Self","S","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","","Choose a Humanoid of your size that you can see. You physically transform to become an exact duplicate of that creature for the duration. Even a thorough physical examination fails to find any differences between you and the target.

Your voice and equipment don't change.",""
"Booming Blade","TCE","106","Cantrip","Action","1 round","Evocation","Self","S, M (a melee weapon worth at least 1 sp)","Artificer (TCE), Artificer (EFA), Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","You brandish the weapon used in the spell's casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack's normal effects and then becomes sheathed in booming energy until the start of your next turn. If the target willingly moves 5 feet or more before then, the target takes 1d8 thunder damage, and the spell ends.

This spell's damage increases when you reach certain levels. At 5th level, the melee attack deals an extra 1d8 thunder damage to the target on a hit, and the damage the target takes for moving increases to 2d8. Both damage rolls increase by 1d8 at 11th level (2d8 and 3d8) and again at 17th level (3d8 and 4d8).",""
"Breath of the Deep","CBT","0","2nd","Action","Concentration, up to 10 minutes","Conjuration","120 feet","V, S","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","","You conjure sea water from the deepest trench to surround a creature that you can see within range. The water seeps into the target's mouth and around its body, slowly crushing it with the unfathomable weight of the sea. The target takes 3d6 Bludgeoning damage and is unable to talk for the duration or use the verbal components of spells.",""
"Buried Alive","TCM'24","125","4th","Action","Instantaneous","Transmutation","60 feet","V, S, M (a pinch of grave dirt)","Druid (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","","You send your enemies to their graves even if they aren't dead yet. A creature that you can see within range that is standing on the ground must make a Strength saving throw. On a failed save, the ground opens and swallows the target, burying it up to 10 feet deep. While buried, the target has Total Cover, has the Restrained and Blinded conditions, and can't breathe. On a successful save, the target has the Prone condition, and its Speed is 0 until the end of its next turn. A buried creature can dig out of the grave by using its action to make a DC 15 Strength (Athletics) check. On a success, it digs 5 feet closer to the surface. If it succeeds by 5 or more, it reaches the surface. When the creature reaches the surface, it exits the ground with the Prone condition.

The target automatically succeeds on its saving throw if it's standing on any thickness of stone or metal, or at least 2 inches of wood.",""
"Burning Hands","PHB'24","248","1st","Action","Instantaneous","Evocation","Self","V, S","Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Wildfire (TCE) Druid, Wildfire (TCE) Druid, Land (Arid Land) (PHB'24) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard, Fiend (PHB'24) Warlock, Light (PHB'24) Cleric, Light (PHB'14) Cleric, Fiend (PHB'14) Warlock, Genie (Efreeti) (TCE) Warlock, Genie (Efreeti) (TCE) Warlock, Sun Soul (XGE) Monk, Sun Soul (XGE) Monk","A thin sheet of flames shoots forth from you. Each creature in a 15-foot Cone makes a Dexterity saving throw, taking 3d6 Fire damage on a failed save or half as much damage on a successful one.

Flammable objects in the Cone that aren't being worn or carried start burning.","Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1."
"Cacophonic Shield","FRHoF","143","3rd","Action","Concentration, up to 10 minutes","Evocation","Self","V, S","Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","Thunderous reverberations fill a 10-foot Emanation originating from you for the duration. Whenever the Emanation enters a creature's space and whenever a creature enters the Emanation or ends its turn there, the creature makes a Constitution saving throw. On a failed save, the creature takes 3d6 Thunder damage and has the Deafened condition until the start of your next turn. On a successful save, the creature takes half as much damage only. A creature makes this save only once per turn. When you cast this spell, you can designate creatures to be unaffected by it.

In addition, you have Resistance to Thunder damage, and ranged attack rolls against you are made with Disadvantage.","Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3."
"Call Deity","CBT","0","8th","Action","1 hour","Conjuration","Self","V, S","Bard (PHB'24), Cleric (PHB'24), Druid (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","","You can cast this spell only during the duration of a Contact Deity spell you also cast. You cause the deity you contacted to manifest in the nearest unoccupied space. For 1 hour, it acts as it wishes but treats you as an ally if you don't take actions against it. It doesn't extend this courtesy to your allies and interprets your attempts to protect others as acting against it.",""
"Captivate Undead","TCM'24","126","1st","Action","Concentration, up to 1 hour","Necromancy","60 feet","V, S, M (a pinch of bone dust)","Bard (PHB'24), Cleric (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","","You usurp the negative energy animating an Undead creature that you can see within range, attempting to take control of it. The target must make a Charisma saving throw. On a failed save, for the duration, the target has the Charmed condition (ignoring any Immunity to that condition), and it is Friendly toward you. On a successful save, the target has Disadvantage on the next attack roll it makes against you before the start of your next turn. If you or any of your allies damage the target or force it to make a saving throw, the spell ends.","Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
"Cat's Spring","CBT","0","Cantrip","Action","Instantaneous","Conjuration","Self","V, S","Bard (PHB'24), Druid (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Feline Court (CBT) Warlock","You jump up to 10 feet to an unoccupied space you can see and deliver a spectral claw attack that deals Slashing or Force damage (you choose when you cast the spell). Make a melee spell attack against a target. On a hit, the target takes 1d8 damage of the chosen type, and the next attack roll you make against it before the end of your next turn has Advantage.","Using a Higher-Level Spell Slot. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (38), and 17 (4d8)."
"Catapult","XGE","150","1st","Action","Instantaneous","Transmutation","60 feet","S","","Artificer (TCE), Artificer (EFA), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","Choose one object weighing 1 to 5 pounds within range that isn't being worn or carried. The object flies in a straight line up to 90 feet in a direction you choose before falling to the ground, stopping early if it impacts against a solid surface. If the object would strike a creature, that creature must make a Dexterity saving throw. On a failed save, the object strikes the target and stops moving. When the object strikes something, the object and what it strikes each take 3d8 bludgeoning damage.","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the maximum weight of objects that you can target with this spell increases by 5 pounds, and the damage increases by 1d8, for each slot level above 1st."
